Festival_Name,City,Date,Tour_Name,Headlining_Artist,International & Local Artists,Supporting_Artists,Ticket_Price(Rs),Total_Attendance,Revenue per Event,Merchandise_Sales (Rs),Sponsorship_Revenue (Rs),Total_Revenue (Rs),Artist_Name,Genre,Average_Ticket_Price,Average_Attendance_Per_City,Social_Media_Followers (millions),Streaming_Plays (millions),Merchandise_Revenue_Per_Concert (Rs),Tour_Impact,Cities_Performed_In
NH7 Pune,Kolkata,1/12/2024,,Badshah,Local Artist,"DJ Snake, Honey Singh",1253,6166,7725998,1942290,3680408,13348696,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
NH7 Pune,Bengaluru,9/18/2024,Classics Tour,Bryan Adams,International  ,"Badshah, Arijit Singh, Martin Garrix, Diljit Dosanjh",6813.8,17889.9,121898201,7667100,640053,132693072,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
VH1 Supersonic Delhi,Goa,3/2/2024,,Honey Singh,Local Artist,"Martin Garrix, Badshah, Ed Sheeran, Diljit Dosanjh",2144,14688,31491072,2350080,2712686,36553838,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Hornbill Festival Nagaland,Nagpur,6/11/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Martin Garrix, Badshah",1886,35244,66470184,6132456,1181193,73783833,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Ziro Festival Arunachal,Jaipur,5/25/2024,,Mika Singh,Local Artist,"Diljit Dosanjh, Mika Singh",3984,20798.88,82862738,2252122,2302603,58605653,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Ziro Festival Arunachal,Goa,3/20/2024,Classics Tour,Bryan Adams,International  ,"Ed Sheeran, Mika Singh, Shreya Ghoshal, Bryan Adams",2910.2,18778.2,54648634,4828680,4948076,111635078,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
NH7 Pune,Nagpur,6/19/2024,,Badshah,Local Artist,"Honey Singh, Badshah, Bryan Adams, Martin Garrix",840,33535,28169400,12206740,1201595,41577735,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Bollywood Music Project,Delhi,5/28/2024,,Shreya Ghoshal,Local Artist,"Ed Sheeran, Shreya Ghoshal, Bryan Adams, Badshah",4191,20798.88,87168106,4279770,3427104,81824709,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Lollapalooza Mumbai,Kolkata,1/28/2024,,Honey Singh,Local Artist,"Honey Singh, Diljit Dosanjh",1823,15513,28280199,7539318,3948781,39768298,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Hornbill Festival Nagaland,Jaipur,6/19/2024,,DJ Snake,International  ,"Honey Singh, Diljit Dosanjh, Arijit Singh",3953.6,21693,85765445,9306297,4798020,75365349,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
